Id,Prima etichetta,Pr Prima etichetta,Verita Prima etichetta,Luogo,Orario,Verita Seconda etichetta,Tipo situazione
408,VS,72,VS,D,1647615187,Non sospetto,Situazione Normale
409,VCI,72,VCI,C,1647615191,Sospetto,Situazione Normale
410,VS,59,VS,E,1647615192,Non sospetto,Situazione Normale
411,VCS,57,VTC,B,1647615193,Non sospetto,Situazione Normale
412,VS,78,VS,C,1647615196,Non sospetto,Situazione Normale
413,VS,94,VS,A,1647615199,Non sospetto,Situazione Normale
414,VS,59,VCI,B,1647615203,Non sospetto,Situazione Normale
415,VTC,60,VS,E,1647615207,Sospetto,Situazione Normale
416,VCS,53,VS,A,1647615211,Non sospetto,Situazione Normale
417,VCS,81,VCS,B,1647615214,Non sospetto,Situazione Normale
418,VCS,86,VCS,D,1647615215,Non sospetto,Situazione Normale
419,VS,68,VS,B,1647615216,Non sospetto,Situazione Normale
420,VS,71,VS,A,1647615218,Non sospetto,Situazione Normale
421,VCS,72,VCS,E,1647615220,Non sospetto,Situazione Normale
422,VCI,55,VCS,B,1647615223,Sospetto,Situazione Normale
423,VS,92,VS,A,1647615225,Non sospetto,Situazione Normale
424,VCS,66,VCS,C,1647615229,Non sospetto,Situazione Normale
425,VS,58,VTC,D,1647615233,Non sospetto,Situazione Normale
426,VS,61,VTC,C,1647615236,Non sospetto,Situazione Normale
427,VS,71,VS,C,1647615237,Non sospetto,Situazione Normale
428,VS,77,VS,A,1647615240,Non sospetto,Situazione Normale
429,VCS,94,VCS,C,1647615242,Non sospetto,Situazione Normale
430,VCS,51,VCI,D,1647615245,Non sospetto,Situazione Normale
431,VCS,80,VCS,E,1647615249,Non sospetto,Situazione Normale
432,VCS,87,VCS,C,1647615252,Non sospetto,Situazione Normale
433,VS,56,VCI,B,1647615255,Non sospetto,Situazione Normale
434,VCS,82,VCS,C,1647615257,Non sospetto,Situazione Normale
435,VS,90,VS,B,1647615258,Non sospetto,Situazione Normale
436,VS,77,VS,A,1647615262,Non sospetto,Situazione Normale
437,VCS,64,VS,D,1647615266,Non sospetto,Situazione Normale
438,VCS,62,VCI,A,1647615267,Non sospetto,Situazione Normale
439,VCS,96,VCS,D,1647615271,Non sospetto,Situazione Normale
440,VS,90,VS,D,1647615273,Non sospetto,Situazione Normale
441,VS,87,VS,D,1647615277,Non sospetto,Situazione Normale
442,VS,52,VS,E,1647615281,Non sospetto,Situazione Normale
443,VCS,80,VCS,E,1647615282,Non sospetto,Situazione Normale
444,VS,56,VCI,A,1647615285,Non sospetto,Situazione Normale
445,VS,89,VS,B,1647615288,Non sospetto,Situazione Normale
446,VS,77,VS,C,1647615290,Non sospetto,Situazione Normale
447,VS,51,VS,B,1647615293,Non sospetto,Situazione Normale
448,VS,55,VS,A,1647615297,Non sospetto,Situazione Normale
449,VS,51,VCI,C,1647615300,Non sospetto,Situazione Normale
450,VS,53,VTC,C,1647615303,Non sospetto,Situazione Normale
451,VCS,96,VCS,D,1647615307,Non sospetto,Situazione Normale
452,VS,72,VS,C,1647615308,Non sospetto,Situazione Normale
453,VS,81,VS,E,1647615309,Non sospetto,Situazione Normale
454,VS,79,VS,B,1647615310,Non sospetto,Situazione Normale
455,VS,67,VS,C,1647615312,Non sospetto,Situazione Normale
456,VS,75,VS,A,1647615315,Non sospetto,Situazione Normale
457,VCS,84,VCS,E,1647615316,Non sospetto,Situazione Normale
458,VS,54,VS,B,1647615319,Non sospetto,Situazione Normale
459,VS,62,VCI,A,1647615322,Non sospetto,Situazione Normale
460,VCI,82,VCI,E,1647615323,Sospetto,Situazione Normale
461,VCS,73,VCS,B,1647615325,Non sospetto,Situazione Normale
462,VCS,83,VCS,C,1647615327,Non sospetto,Situazione Normale
463,VS,64,VCS,C,1647615328,Non sospetto,Situazione Normale
464,VS,87,VS,C,1647615329,Non sospetto,Situazione Normale
465,VS,94,VS,B,1647615333,Non sospetto,Situazione Normale
466,VS,52,VTC,E,1647615334,Non sospetto,Situazione Normale
467,VS,92,VS,B,1647615337,Non sospetto,Situazione Normale
468,VS,92,VS,B,1647615340,Non sospetto,Situazione Normale
469,VS,86,VS,C,1647615342,Non sospetto,Situazione Normale
470,VS,95,VS,E,1647615343,Non sospetto,Situazione Normale
471,VS,96,VS,D,1647615344,Non sospetto,Situazione Normale
472,VS,60,VCS,A,1647615345,Non sospetto,Situazione Normale
473,VCS,61,VS,B,1647615346,Non sospetto,Situazione Normale
474,VS,85,VS,B,1647615347,Non sospetto,Situazione Normale
475,VCS,63,VTC,D,1647615351,Non sospetto,Situazione Normale
476,VS,67,VS,A,1647615353,Non sospetto,Situazione Normale
477,VS,72,VS,C,1647615355,Non sospetto,Situazione Normale
478,VS,69,VS,D,1647615357,Non sospetto,Situazione Normale
479,VCI,53,VS,E,1647615358,Sospetto,Situazione Normale
480,VCS,97,VCS,D,1647615361,Non sospetto,Situazione Normale
481,VCS,84,VCS,C,1647615364,Non sospetto,Situazione Normale
482,VS,84,VS,B,1647615366,Non sospetto,Situazione Normale
483,VS,55,VS,A,1647615368,Non sospetto,Situazione Normale
484,VCS,83,VCS,D,1647615370,Non sospetto,Situazione Normale
485,VCI,62,VCS,E,1647615371,Sospetto,Situazione Normale
486,VS,73,VS,A,1647615374,Non sospetto,Situazione Normale
487,VS,90,VS,C,1647615377,Non sospetto,Situazione Normale
488,VS,78,VS,B,1647615381,Non sospetto,Situazione Normale
489,VS,95,VS,B,1647615384,Non sospetto,Situazione Normale
490,VS,92,VS,E,1647615385,Non sospetto,Situazione Normale
491,VS,80,VS,B,1647615387,Non sospetto,Situazione Normale
492,VS,65,VS,D,1647615388,Non sospetto,Situazione Normale
493,VS,57,VS,B,1647615389,Non sospetto,Situazione Normale
494,VS,84,VS,C,1647615391,Non sospetto,Situazione Normale
495,VS,80,VS,D,1647615394,Non sospetto,Situazione Normale
496,VS,78,VS,B,1647615395,Non sospetto,Situazione Normale
497,VS,96,VS,E,1647615397,Non sospetto,Situazione Normale
498,VCS,74,VCS,E,1647615399,Non sospetto,Situazione Normale
499,VS,96,VS,D,1647615403,Non sospetto,Situazione Normale
500,VCI,76,VCI,E,1647615404,Sospetto,Situazione Normale
501,VS,87,VS,A,1647615408,Non sospetto,Situazione Normale
502,VTC,79,VTC,A,1647615410,Sospetto,Situazione Normale
503,VS,56,VCI,D,1647615411,Non sospetto,Situazione Normale
504,VS,73,VS,E,1647615415,Non sospetto,Situazione Normale
505,VS,60,VS,D,1647615417,Non sospetto,Situazione Normale
506,VCS,57,VCI,B,1647615418,Non sospetto,Situazione Normale
507,VS,90,VS,B,1647615422,Non sospetto,Situazione Normale
508,VCI,81,VCI,C,1647615423,Sospetto,Situazione Normale
509,VS,64,VS,D,1647615424,Non sospetto,Situazione Normale
510,VCS,68,VCS,E,1647615426,Non sospetto,Situazione Normale
511,VS,82,VS,B,1647615430,Non sospetto,Situazione Normale
512,VCI,70,VCI,D,1647615434,Sospetto,Situazione Normale
513,VS,97,VS,C,1647615436,Non sospetto,Situazione Normale
514,VS,66,VS,D,1647615439,Non sospetto,Situazione Normale
515,VS,71,VS,E,1647615440,Non sospetto,Situazione Normale
516,VCS,80,VCS,E,1647615444,Non sospetto,Situazione Normale
517,VS,73,VS,C,1647615447,Non sospetto,Situazione Normale
518,VS,97,VS,B,1647615451,Non sospetto,Situazione Normale
519,VS,70,VS,B,1647615452,Non sospetto,Situazione Normale
520,VCI,64,VTC,B,1647615453,Sospetto,Situazione Normale
521,VCI,51,VTC,E,1647615455,Sospetto,Situazione Normale
522,VCS,52,VTC,E,1647615459,Non sospetto,Situazione Normale
523,VS,51,VS,A,1647615460,Non sospetto,Situazione Normale
524,VCS,85,VCS,A,1647615462,Non sospetto,Situazione Normale
525,VCS,65,VCS,D,1647615466,Non sospetto,Situazione Normale
526,VCS,88,VCS,A,1647615468,Non sospetto,Situazione Normale
527,VCI,51,VCI,E,1647615470,Sospetto,Situazione Normale
528,VS,77,VS,A,1647615473,Non sospetto,Situazione Normale
529,VCS,55,VTC,B,1647615475,Non sospetto,Situazione Normale
530,VCS,63,VCS,E,1647615479,Non sospetto,Situazione Normale
531,VCS,96,VCS,A,1647615481,Non sospetto,Situazione Normale
532,VS,97,VS,D,1647615482,Non sospetto,Situazione Normale
533,VS,93,VS,E,1647615485,Non sospetto,Situazione Normale
534,VCS,77,VCS,C,1647615486,Non sospetto,Situazione Normale
535,VS,64,VTC,D,1647615488,Non sospetto,Situazione Normale
536,VS,88,VS,E,1647615491,Non sospetto,Situazione Normale
537,VS,81,VS,A,1647615492,Non sospetto,Situazione Normale
538,VCS,95,VCS,E,1647615494,Non sospetto,Situazione Normale
539,VS,65,VS,D,1647615497,Non sospetto,Situazione Normale
540,VCS,69,VCS,D,1647615498,Non sospetto,Situazione Normale
541,VS,71,VS,B,1647615502,Non sospetto,Situazione Normale
542,VS,65,VS,E,1647615504,Non sospetto,Situazione Normale
543,VS,98,VS,A,1647615507,Non sospetto,Situazione Normale
544,VS,57,VTC,E,1647615509,Non sospetto,Situazione Normale
545,VS,91,VS,D,1647615512,Non sospetto,Situazione Normale
546,VS,71,VS,D,1647615515,Non sospetto,Situazione Normale
547,VS,81,VS,D,1647615516,Non sospetto,Situazione Normale
548,VS,88,VS,E,1647615518,Non sospetto,Situazione Normale
549,VCI,86,VCI,C,1647615519,Sospetto,Situazione Normale
550,VCS,81,VCS,C,1647615521,Non sospetto,Situazione Normale
551,VS,61,VCS,A,1647615524,Non sospetto,Situazione Normale
552,VCI,75,VCI,D,1647615525,Sospetto,Situazione Normale
553,VS,80,VS,C,1647615527,Non sospetto,Situazione Normale
554,VS,76,VS,A,1647615530,Non sospetto,Situazione Normale
555,VS,59,VCS,C,1647615532,Non sospetto,Situazione Normale
556,VCS,61,VTC,A,1647615536,Non sospetto,Situazione Normale
557,VS,51,VCI,B,1647615538,Non sospetto,Situazione Normale
558,VS,52,VS,A,1647615539,Non sospetto,Situazione Normale
559,VS,53,VTC,E,1647615541,Non sospetto,Situazione Normale
560,VS,60,VTC,A,1647615542,Non sospetto,Situazione Normale
561,VTC,51,VCI,D,1647615543,Sospetto,Situazione Normale
562,VS,73,VS,E,1647615545,Non sospetto,Situazione Normale
563,VS,81,VS,B,1647615547,Non sospetto,Situazione Normale
564,VCI,66,VCI,E,1647615550,Sospetto,Situazione Normale
565,VCS,85,VCS,C,1647615551,Non sospetto,Situazione Normale
566,VTC,79,VTC,C,1647615554,Sospetto,Situazione Normale
567,VS,82,VS,E,1647615557,Non sospetto,Situazione Normale
568,VS,55,VTC,B,1647615560,Non sospetto,Situazione Normale
569,VCS,67,VCS,D,1647615563,Non sospetto,Situazione Normale
570,VS,77,VS,E,1647615564,Non sospetto,Situazione Normale
571,VS,84,VS,E,1647615565,Non sospetto,Situazione Normale
572,VS,56,VCS,A,1647615567,Non sospetto,Situazione Normale
573,VS,89,VS,B,1647615568,Non sospetto,Situazione Normale
574,VS,79,VS,D,1647615571,Non sospetto,Situazione Normale
575,VS,52,VTC,A,1647615572,Non sospetto,Situazione Normale
576,VS,58,VCI,B,1647615575,Non sospetto,Situazione Normale
577,VS,73,VS,A,1647615577,Non sospetto,Situazione Normale
578,VS,79,VS,C,1647615579,Non sospetto,Situazione Normale
579,VCS,61,VCI,D,1647615583,Non sospetto,Situazione Normale
580,VS,56,VTC,B,1647615587,Non sospetto,Situazione Normale
581,VS,98,VS,A,1647615588,Non sospetto,Situazione Normale
582,VCS,60,VCI,A,1647615590,Non sospetto,Situazione Normale
583,VCS,85,VCS,A,1647615592,Non sospetto,Situazione Normale
584,VCS,67,VCS,B,1647615595,Non sospetto,Situazione Normale
585,VS,98,VS,B,1647615598,Non sospetto,Situazione Normale
586,VS,68,VS,D,1647615602,Non sospetto,Situazione Normale
587,VCS,57,VCI,C,1647615605,Non sospetto,Situazione Normale
588,VS,94,VS,E,1647615607,Non sospetto,Situazione Normale
589,VCS,73,VCS,C,1647615608,Non sospetto,Situazione Normale
590,VS,83,VS,D,1647615612,Non sospetto,Situazione Normale
591,VS,66,VS,A,1647615613,Non sospetto,Situazione Normale
592,VCI,50,VS,E,1647615614,Sospetto,Situazione Normale
593,VS,60,VCS,D,1647615615,Non sospetto,Situazione Normale
594,VS,68,VS,C,1647615617,Non sospetto,Situazione Normale
595,VCS,67,VCS,B,1647615621,Non sospetto,Situazione Normale
596,VS,78,VS,C,1647615623,Non sospetto,Situazione Normale
597,VCS,64,VTC,C,1647615627,Non sospetto,Situazione Normale
598,VS,76,VS,D,1647615628,Non sospetto,Situazione Normale
599,VS,66,VS,D,1647615629,Non sospetto,Situazione Normale
