Id,Prima etichetta,Pr Prima etichetta,Luogo,Orario,Verita Seconda etichetta,Tipo situazione,Seconda etichetta,Pr Seconda etichetta,Incertezza Sistema
322,VCI,98,A,1647350559,Non sospetto,Obbligo mascherina,Non sospetto,86,0.16
323,VCS,97,C,1647350561,Sospetto,Obbligo mascherina,Non sospetto,50,0.52
324,VCI,72,E,1647350562,Non sospetto,Obbligo mascherina,Non sospetto,86,0.38
325,VCI,67,C,1647350565,Non sospetto,Obbligo mascherina,Non sospetto,86,0.42
326,VCI,63,B,1647350569,Non sospetto,Obbligo mascherina,Non sospetto,85,0.46
327,VCI,61,B,1647350570,Non sospetto,Obbligo mascherina,Non sospetto,85,0.48
328,VCI,71,B,1647350571,Non sospetto,Obbligo mascherina,Non sospetto,85,0.4
329,VCI,68,A,1647350572,Non sospetto,Obbligo mascherina,Non sospetto,85,0.42
330,VCI,59,A,1647350574,Non sospetto,Obbligo mascherina,Non sospetto,85,0.5
331,VS,98,B,1647350577,Sospetto,Obbligo mascherina,Non sospetto,50,0.51
332,VCI,85,B,1647350578,Non sospetto,Obbligo mascherina,Non sospetto,85,0.28
333,VCI,65,C,1647350581,Non sospetto,Obbligo mascherina,Non sospetto,85,0.45
334,VCI,68,C,1647350585,Non sospetto,Obbligo mascherina,Non sospetto,85,0.42
335,VCI,63,D,1647350587,Non sospetto,Obbligo mascherina,Non sospetto,85,0.46
336,VCI,92,B,1647350591,Non sospetto,Obbligo mascherina,Non sospetto,87,0.2
337,VCI,69,C,1647350593,Non sospetto,Obbligo mascherina,Non sospetto,87,0.4
338,VCI,90,A,1647350596,Non sospetto,Obbligo mascherina,Non sospetto,87,0.22
339,VCS,98,E,1647350597,Sospetto,Obbligo mascherina,Non sospetto,50,0.51
340,VCI,75,B,1647350599,Non sospetto,Obbligo mascherina,Non sospetto,87,0.35
341,VCI,80,A,1647350600,Non sospetto,Obbligo mascherina,Non sospetto,87,0.3
342,VCI,74,A,1647350601,Non sospetto,Obbligo mascherina,Non sospetto,87,0.36
343,VCI,84,D,1647350604,Non sospetto,Obbligo mascherina,Non sospetto,87,0.27
344,VCI,81,C,1647350608,Non sospetto,Obbligo mascherina,Non sospetto,87,0.3
345,VCI,69,A,1647350611,Non sospetto,Obbligo mascherina,Non sospetto,88,0.39
346,VCI,89,D,1647350613,Non sospetto,Obbligo mascherina,Non sospetto,88,0.22
347,VCI,85,D,1647350617,Non sospetto,Obbligo mascherina,Non sospetto,88,0.25
348,VCI,51,A,1647350621,Non sospetto,Obbligo mascherina,Non sospetto,88,0.55
349,VCI,60,C,1647350624,Non sospetto,Obbligo mascherina,Non sospetto,88,0.47
350,VCI,59,A,1647350628,Non sospetto,Obbligo mascherina,Non sospetto,88,0.48
351,VCI,70,D,1647350631,Non sospetto,Obbligo mascherina,Non sospetto,88,0.38
352,VCI,73,D,1647350633,Non sospetto,Obbligo mascherina,Non sospetto,88,0.36
353,VS,58,C,1647350636,Sospetto,Obbligo mascherina,Non sospetto,50,0.71
354,VCI,58,C,1647350638,Non sospetto,Obbligo mascherina,Non sospetto,88,0.49
355,VCI,54,A,1647350640,Non sospetto,Obbligo mascherina,Non sospetto,88,0.52
356,VCI,65,D,1647350642,Non sospetto,Obbligo mascherina,Non sospetto,88,0.43
357,VCI,67,A,1647350646,Non sospetto,Obbligo mascherina,Non sospetto,88,0.41
358,VCI,76,C,1647350649,Non sospetto,Obbligo mascherina,Non sospetto,88,0.33
359,VCI,62,D,1647350651,Non sospetto,Obbligo mascherina,Non sospetto,88,0.45
360,VCI,52,B,1647350655,Non sospetto,Obbligo mascherina,Non sospetto,88,0.54
361,VCI,57,D,1647350657,Non sospetto,Obbligo mascherina,Non sospetto,87,0.5
362,VCI,54,B,1647350661,Non sospetto,Obbligo mascherina,Non sospetto,87,0.53
363,VCS,66,B,1647350665,Sospetto,Obbligo mascherina,Non sospetto,50,0.67
364,VCI,65,D,1647350668,Non sospetto,Obbligo mascherina,Non sospetto,87,0.43
365,VCI,71,D,1647350671,Non sospetto,Obbligo mascherina,Non sospetto,87,0.38
366,VCI,51,C,1647350675,Non sospetto,Obbligo mascherina,Non sospetto,87,0.56
367,VCI,83,B,1647350678,Non sospetto,Obbligo mascherina,Non sospetto,87,0.28
368,VCI,96,D,1647350682,Non sospetto,Obbligo mascherina,Non sospetto,86,0.17
369,VCI,84,C,1647350683,Non sospetto,Obbligo mascherina,Non sospetto,86,0.28
370,VCI,56,E,1647350685,Non sospetto,Obbligo mascherina,Non sospetto,86,0.52
371,VCI,73,B,1647350688,Non sospetto,Obbligo mascherina,Non sospetto,86,0.37
372,VCS,61,C,1647350689,Sospetto,Obbligo mascherina,Non sospetto,50,0.7
373,VCI,76,B,1647350692,Non sospetto,Obbligo mascherina,Non sospetto,86,0.35
374,VCS,95,A,1647350694,Sospetto,Obbligo mascherina,Non sospetto,50,0.53
375,VCI,76,B,1647350698,Non sospetto,Obbligo mascherina,Non sospetto,86,0.35
376,VCI,98,B,1647350702,Non sospetto,Obbligo mascherina,Non sospetto,86,0.16
377,VCI,64,D,1647350703,Non sospetto,Obbligo mascherina,Non sospetto,86,0.45
378,VCI,84,B,1647350706,Non sospetto,Obbligo mascherina,Non sospetto,86,0.28
379,VCI,57,A,1647350707,Non sospetto,Obbligo mascherina,Non sospetto,86,0.51
380,VCI,98,B,1647350711,Non sospetto,Obbligo mascherina,Non sospetto,86,0.16
381,VCI,67,B,1647350714,Non sospetto,Obbligo mascherina,Non sospetto,86,0.42
382,VCI,51,E,1647350716,Non sospetto,Obbligo mascherina,Non sospetto,86,0.56
383,VS,96,B,1647350719,Sospetto,Obbligo mascherina,Non sospetto,50,0.52
384,VCI,91,B,1647350720,Non sospetto,Obbligo mascherina,Non sospetto,86,0.22
385,VCI,88,C,1647350722,Non sospetto,Obbligo mascherina,Non sospetto,86,0.24
386,VS,85,A,1647350726,Sospetto,Obbligo mascherina,Non sospetto,50,0.57
387,VCI,60,B,1647350728,Non sospetto,Obbligo mascherina,Non sospetto,75,0.55
388,VCI,83,B,1647350729,Non sospetto,Obbligo mascherina,Non sospetto,75,0.38
389,VCI,66,D,1647350730,Non sospetto,Obbligo mascherina,Non sospetto,75,0.51
390,VS,54,C,1647350732,Sospetto,Obbligo mascherina,Non sospetto,50,0.73
391,VCI,95,D,1647350736,Non sospetto,Obbligo mascherina,Non sospetto,75,0.29
392,VCI,60,C,1647350737,Non sospetto,Obbligo mascherina,Non sospetto,75,0.55
393,VCI,87,C,1647350741,Non sospetto,Obbligo mascherina,Non sospetto,75,0.35
394,VCI,71,E,1647350744,Non sospetto,Obbligo mascherina,Non sospetto,75,0.47
395,VCI,94,A,1647350746,Non sospetto,Obbligo mascherina,Non sospetto,75,0.3
396,VCI,76,B,1647350749,Non sospetto,Obbligo mascherina,Non sospetto,75,0.43
397,VCI,51,A,1647350751,Non sospetto,Obbligo mascherina,Non sospetto,85,0.57
398,VCI,64,C,1647350754,Non sospetto,Obbligo mascherina,Non sospetto,85,0.46
399,VCI,84,C,1647350758,Non sospetto,Obbligo mascherina,Non sospetto,85,0.29
400,VCS,60,B,1647350760,Sospetto,Obbligo mascherina,Non sospetto,50,0.7
401,VCS,59,D,1647350763,Non sospetto,Situazione Normale,Non sospetto,50,0.71
402,VS,98,E,1647350767,Non sospetto,Situazione Normale,Non sospetto,50,0.51
403,VS,89,B,1647350769,Non sospetto,Situazione Normale,Non sospetto,50,0.55
404,VCS,51,E,1647350772,Non sospetto,Situazione Normale,Non sospetto,50,0.74
405,VS,52,E,1647350774,Non sospetto,Situazione Normale,Non sospetto,50,0.74
406,VS,90,E,1647350777,Non sospetto,Situazione Normale,Non sospetto,50,0.55
407,VCI,55,D,1647350778,Sospetto,Situazione Normale,Non sospetto,82,0.55
408,VS,53,D,1647350779,Non sospetto,Situazione Normale,Non sospetto,50,0.73
409,VCI,69,C,1647350781,Sospetto,Situazione Normale,Non sospetto,82,0.43
410,VS,58,E,1647350785,Non sospetto,Situazione Normale,Non sospetto,50,0.71
411,VCS,58,B,1647350789,Non sospetto,Situazione Normale,Non sospetto,50,0.71
412,VS,60,C,1647350792,Non sospetto,Situazione Normale,Non sospetto,50,0.7
413,VS,88,A,1647350793,Non sospetto,Situazione Normale,Non sospetto,50,0.56
414,VS,87,B,1647350796,Non sospetto,Situazione Normale,Non sospetto,50,0.56
415,VTC,77,E,1647350797,Sospetto,Situazione Normale,Sospetto,100,0.23
416,VCS,64,A,1647350801,Non sospetto,Situazione Normale,Non sospetto,50,0.68
417,VCS,77,B,1647350804,Non sospetto,Situazione Normale,Non sospetto,50,0.61
418,VCS,74,D,1647350805,Non sospetto,Situazione Normale,Non sospetto,50,0.63
419,VS,81,B,1647350808,Non sospetto,Situazione Normale,Non sospetto,50,0.59
420,VS,93,A,1647350810,Non sospetto,Situazione Normale,Non sospetto,50,0.53
421,VCS,88,E,1647350813,Non sospetto,Situazione Normale,Non sospetto,50,0.56
422,VCI,91,B,1647350817,Sospetto,Situazione Normale,Non sospetto,81,0.26
423,VS,83,A,1647350821,Non sospetto,Situazione Normale,Non sospetto,51,0.58
424,VCS,50,C,1647350822,Non sospetto,Situazione Normale,Non sospetto,50,0.75
425,VS,66,D,1647350825,Non sospetto,Situazione Normale,Non sospetto,51,0.66
426,VS,96,C,1647350829,Non sospetto,Situazione Normale,Non sospetto,51,0.51
427,VS,90,C,1647350833,Non sospetto,Situazione Normale,Non sospetto,51,0.54
428,VS,68,A,1647350834,Non sospetto,Situazione Normale,Non sospetto,51,0.65
429,VCS,77,C,1647350837,Non sospetto,Situazione Normale,Non sospetto,50,0.61
430,VCS,54,D,1647350840,Non sospetto,Situazione Normale,Non sospetto,50,0.73
431,VCS,52,E,1647350843,Non sospetto,Situazione Normale,Non sospetto,59,0.69
432,VCS,63,C,1647350846,Non sospetto,Situazione Normale,Non sospetto,59,0.63
433,VS,61,B,1647350849,Non sospetto,Situazione Normale,Non sospetto,75,0.54
434,VCS,79,C,1647350851,Non sospetto,Situazione Normale,Non sospetto,59,0.53
435,VS,90,B,1647350852,Non sospetto,Situazione Normale,Non sospetto,75,0.32
436,VS,59,A,1647350855,Non sospetto,Situazione Normale,Non sospetto,75,0.56
437,VCS,53,D,1647350859,Non sospetto,Situazione Normale,Non sospetto,59,0.69
438,VCS,69,A,1647350863,Non sospetto,Situazione Normale,Non sospetto,59,0.59
439,VCS,57,D,1647350865,Non sospetto,Situazione Normale,Non sospetto,60,0.66
440,VS,95,D,1647350867,Non sospetto,Situazione Normale,Non sospetto,75,0.29
441,VS,51,D,1647350869,Non sospetto,Situazione Normale,Non sospetto,75,0.62
442,VS,61,E,1647350873,Non sospetto,Situazione Normale,Non sospetto,75,0.54
443,VCS,62,E,1647350877,Non sospetto,Situazione Normale,Non sospetto,60,0.63
444,VS,97,A,1647350879,Non sospetto,Situazione Normale,Non sospetto,75,0.27
445,VS,57,B,1647350883,Non sospetto,Situazione Normale,Non sospetto,75,0.57
446,VS,77,C,1647350887,Non sospetto,Situazione Normale,Non sospetto,75,0.42
447,VS,85,B,1647350891,Non sospetto,Situazione Normale,Non sospetto,76,0.35
448,VS,91,A,1647350895,Non sospetto,Situazione Normale,Non sospetto,76,0.31
449,VS,61,C,1647350899,Non sospetto,Situazione Normale,Non sospetto,76,0.54
450,VS,82,C,1647350902,Non sospetto,Situazione Normale,Non sospetto,76,0.38
451,VCS,89,D,1647350905,Non sospetto,Situazione Normale,Non sospetto,60,0.47
452,VS,59,C,1647350908,Non sospetto,Situazione Normale,Non sospetto,76,0.55
453,VS,65,E,1647350909,Non sospetto,Situazione Normale,Non sospetto,78,0.49
454,VS,77,B,1647350912,Non sospetto,Situazione Normale,Non sospetto,78,0.4
455,VS,98,C,1647350916,Non sospetto,Situazione Normale,Non sospetto,78,0.24
456,VS,97,A,1647350920,Non sospetto,Situazione Normale,Non sospetto,78,0.24
457,VCS,80,E,1647350922,Non sospetto,Situazione Normale,Non sospetto,60,0.52
458,VS,59,B,1647350924,Non sospetto,Situazione Normale,Non sospetto,78,0.54
459,VS,82,A,1647350928,Non sospetto,Situazione Normale,Non sospetto,78,0.36
460,VCI,94,E,1647350931,Sospetto,Situazione Normale,Non sospetto,50,0.53
461,VCS,67,B,1647350935,Non sospetto,Situazione Normale,Non sospetto,61,0.59
462,VCS,67,C,1647350938,Non sospetto,Situazione Normale,Non sospetto,61,0.59
463,VS,90,C,1647350939,Non sospetto,Situazione Normale,Non sospetto,80,0.28
464,VS,96,C,1647350943,Non sospetto,Situazione Normale,Non sospetto,80,0.23
465,VS,78,B,1647350944,Non sospetto,Situazione Normale,Non sospetto,80,0.38
466,VS,81,E,1647350946,Non sospetto,Situazione Normale,Non sospetto,80,0.35
467,VS,52,B,1647350949,Non sospetto,Situazione Normale,Non sospetto,80,0.58
468,VS,63,B,1647350953,Non sospetto,Situazione Normale,Non sospetto,80,0.5
469,VS,90,C,1647350955,Non sospetto,Situazione Normale,Non sospetto,82,0.26
470,VS,70,E,1647350959,Non sospetto,Situazione Normale,Non sospetto,82,0.43
471,VS,77,D,1647350963,Non sospetto,Situazione Normale,Non sospetto,82,0.37
472,VS,52,A,1647350966,Non sospetto,Situazione Normale,Non sospetto,82,0.57
473,VCS,59,B,1647350968,Non sospetto,Situazione Normale,Non sospetto,63,0.63
474,VS,95,B,1647350969,Non sospetto,Situazione Normale,Non sospetto,82,0.22
475,VCS,60,D,1647350970,Non sospetto,Situazione Normale,Non sospetto,63,0.62
476,VS,58,A,1647350974,Non sospetto,Situazione Normale,Non sospetto,82,0.52
477,VS,50,C,1647350977,Non sospetto,Situazione Normale,Non sospetto,84,0.58
478,VS,85,D,1647350980,Non sospetto,Situazione Normale,Non sospetto,84,0.29
479,VCI,82,E,1647350981,Sospetto,Situazione Normale,Sospetto,100,0.18
480,VCS,76,D,1647350984,Non sospetto,Situazione Normale,Non sospetto,61,0.54
481,VCS,60,C,1647350987,Non sospetto,Situazione Normale,Non sospetto,61,0.63
482,VS,56,B,1647350991,Non sospetto,Situazione Normale,Non sospetto,84,0.53
483,VS,88,A,1647350994,Non sospetto,Situazione Normale,Non sospetto,84,0.26
484,VCS,98,D,1647350998,Non sospetto,Situazione Normale,Non sospetto,61,0.4
485,VCI,50,E,1647351000,Sospetto,Situazione Normale,Sospetto,50,0.75
486,VS,88,A,1647351002,Non sospetto,Situazione Normale,Non sospetto,81,0.29
487,VS,57,C,1647351006,Non sospetto,Situazione Normale,Non sospetto,81,0.54
488,VS,59,B,1647351009,Non sospetto,Situazione Normale,Non sospetto,81,0.52
489,VS,90,B,1647351011,Non sospetto,Situazione Normale,Non sospetto,81,0.27
490,VS,67,E,1647351014,Non sospetto,Situazione Normale,Non sospetto,81,0.46
491,VS,57,B,1647351017,Non sospetto,Situazione Normale,Non sospetto,81,0.54
492,VS,71,D,1647351021,Non sospetto,Situazione Normale,Non sospetto,81,0.42
493,VS,50,B,1647351025,Non sospetto,Situazione Normale,Non sospetto,83,0.58
494,VS,50,C,1647351028,Non sospetto,Situazione Normale,Non sospetto,83,0.58
495,VS,67,D,1647351029,Non sospetto,Situazione Normale,Non sospetto,83,0.44
496,VS,82,B,1647351031,Non sospetto,Situazione Normale,Non sospetto,83,0.32
497,VS,66,E,1647351033,Non sospetto,Situazione Normale,Non sospetto,83,0.45
498,VCS,83,E,1647351037,Non sospetto,Situazione Normale,Non sospetto,60,0.5
499,VS,52,D,1647351039,Non sospetto,Situazione Normale,Non sospetto,83,0.57
500,VCI,72,E,1647351041,Sospetto,Situazione Normale,Sospetto,50,0.64
501,VS,88,A,1647351043,Non sospetto,Situazione Normale,Non sospetto,83,0.27
502,VTC,65,A,1647351045,Sospetto,Situazione Normale,Sospetto,100,0.35
503,VS,51,D,1647351049,Non sospetto,Situazione Normale,Non sospetto,83,0.58
504,VS,57,E,1647351052,Non sospetto,Situazione Normale,Non sospetto,83,0.53
505,VS,62,D,1647351054,Non sospetto,Situazione Normale,Non sospetto,83,0.49
506,VCS,94,B,1647351057,Non sospetto,Situazione Normale,Non sospetto,61,0.43
507,VS,52,B,1647351060,Non sospetto,Situazione Normale,Non sospetto,83,0.57
508,VCI,73,C,1647351063,Sospetto,Situazione Normale,Sospetto,50,0.64
509,VS,77,D,1647351066,Non sospetto,Situazione Normale,Non sospetto,83,0.36
510,VCS,87,E,1647351067,Non sospetto,Situazione Normale,Non sospetto,61,0.47
511,VS,51,B,1647351069,Non sospetto,Situazione Normale,Non sospetto,81,0.59
512,VCI,96,D,1647351072,Sospetto,Situazione Normale,Sospetto,50,0.52
513,VS,54,C,1647351075,Non sospetto,Situazione Normale,Non sospetto,81,0.56
514,VS,92,D,1647351077,Non sospetto,Situazione Normale,Non sospetto,81,0.25
515,VS,90,E,1647351080,Non sospetto,Situazione Normale,Non sospetto,81,0.27
516,VCS,98,E,1647351081,Non sospetto,Situazione Normale,Non sospetto,61,0.4
517,VS,55,C,1647351083,Non sospetto,Situazione Normale,Non sospetto,81,0.55
518,VS,65,B,1647351086,Non sospetto,Situazione Normale,Non sospetto,81,0.47
519,VS,68,B,1647351090,Non sospetto,Situazione Normale,Non sospetto,81,0.45
520,VCI,50,B,1647351094,Sospetto,Situazione Normale,Sospetto,50,0.75
521,VCI,70,E,1647351097,Sospetto,Situazione Normale,Sospetto,50,0.65
522,VCS,75,E,1647351099,Non sospetto,Situazione Normale,Non sospetto,50,0.62
523,VS,89,A,1647351101,Non sospetto,Situazione Normale,Non sospetto,79,0.3
524,VCS,82,A,1647351102,Non sospetto,Situazione Normale,Non sospetto,50,0.59
525,VCS,62,D,1647351105,Non sospetto,Situazione Normale,Non sospetto,50,0.69
526,VCS,78,A,1647351108,Non sospetto,Situazione Normale,Non sospetto,50,0.61
527,VCI,84,E,1647351109,Sospetto,Situazione Normale,Sospetto,50,0.58
528,VS,59,A,1647351110,Non sospetto,Situazione Normale,Non sospetto,79,0.53
529,VCS,89,B,1647351112,Non sospetto,Situazione Normale,Non sospetto,50,0.55
530,VCS,66,E,1647351116,Non sospetto,Situazione Normale,Non sospetto,62,0.59
531,VCS,98,A,1647351120,Non sospetto,Situazione Normale,Non sospetto,62,0.39
532,VS,50,D,1647351124,Non sospetto,Situazione Normale,Non sospetto,65,0.68
533,VS,58,E,1647351125,Non sospetto,Situazione Normale,Non sospetto,65,0.62
534,VCS,51,C,1647351126,Non sospetto,Situazione Normale,Non sospetto,62,0.68
535,VS,54,D,1647351130,Non sospetto,Situazione Normale,Non sospetto,65,0.65
536,VS,69,E,1647351132,Non sospetto,Situazione Normale,Non sospetto,65,0.55
537,VS,76,A,1647351133,Non sospetto,Situazione Normale,Non sospetto,65,0.51
538,VCS,97,E,1647351136,Non sospetto,Situazione Normale,Non sospetto,53,0.49
539,VS,69,D,1647351139,Non sospetto,Situazione Normale,Non sospetto,64,0.56
540,VCS,65,D,1647351142,Non sospetto,Situazione Normale,Non sospetto,53,0.66
541,VS,78,B,1647351143,Non sospetto,Situazione Normale,Non sospetto,64,0.5
542,VS,81,E,1647351144,Non sospetto,Situazione Normale,Non sospetto,64,0.48
543,VS,72,A,1647351147,Non sospetto,Situazione Normale,Non sospetto,64,0.54
544,VS,98,E,1647351150,Non sospetto,Situazione Normale,Non sospetto,64,0.37
545,VS,80,D,1647351153,Non sospetto,Situazione Normale,Non sospetto,64,0.49
546,VS,69,D,1647351155,Non sospetto,Situazione Normale,Non sospetto,64,0.56
547,VS,62,D,1647351156,Non sospetto,Situazione Normale,Non sospetto,66,0.59
548,VS,66,E,1647351159,Non sospetto,Situazione Normale,Non sospetto,66,0.56
549,VCI,82,C,1647351161,Sospetto,Situazione Normale,Non sospetto,50,0.59
550,VCS,97,C,1647351164,Non sospetto,Situazione Normale,Non sospetto,64,0.38
551,VS,65,A,1647351165,Non sospetto,Situazione Normale,Non sospetto,66,0.57
552,VCI,61,D,1647351167,Sospetto,Situazione Normale,Non sospetto,50,0.7
553,VS,94,C,1647351169,Non sospetto,Situazione Normale,Non sospetto,66,0.38
554,VS,94,A,1647351170,Non sospetto,Situazione Normale,Non sospetto,66,0.38
555,VS,65,C,1647351171,Non sospetto,Situazione Normale,Non sospetto,66,0.57
556,VCS,90,A,1647351172,Non sospetto,Situazione Normale,Non sospetto,64,0.42
557,VS,88,B,1647351175,Non sospetto,Situazione Normale,Non sospetto,66,0.42
558,VS,80,A,1647351179,Non sospetto,Situazione Normale,Non sospetto,66,0.47
559,VS,68,E,1647351183,Non sospetto,Situazione Normale,Non sospetto,77,0.48
560,VS,83,A,1647351186,Non sospetto,Situazione Normale,Non sospetto,77,0.36
561,VTC,59,D,1647351189,Sospetto,Situazione Normale,Sospetto,100,0.41
562,VS,95,E,1647351191,Non sospetto,Situazione Normale,Non sospetto,77,0.27
563,VS,77,B,1647351192,Non sospetto,Situazione Normale,Non sospetto,77,0.41
564,VCI,58,E,1647351196,Sospetto,Situazione Normale,Non sospetto,50,0.71
565,VCS,96,C,1647351199,Non sospetto,Situazione Normale,Non sospetto,75,0.28
566,VTC,78,C,1647351201,Sospetto,Situazione Normale,Sospetto,100,0.22
567,VS,94,E,1647351203,Non sospetto,Situazione Normale,Non sospetto,81,0.24
568,VS,80,B,1647351204,Non sospetto,Situazione Normale,Non sospetto,81,0.35
569,VCS,88,D,1647351207,Non sospetto,Situazione Normale,Non sospetto,63,0.45
570,VS,71,E,1647351211,Non sospetto,Situazione Normale,Non sospetto,81,0.42
571,VS,90,E,1647351214,Non sospetto,Situazione Normale,Non sospetto,81,0.27
572,VS,97,A,1647351215,Non sospetto,Situazione Normale,Non sospetto,81,0.21
573,VS,66,B,1647351217,Non sospetto,Situazione Normale,Non sospetto,81,0.47
574,VS,89,D,1647351219,Non sospetto,Situazione Normale,Non sospetto,81,0.28
575,VS,76,A,1647351221,Non sospetto,Situazione Normale,Non sospetto,81,0.38
576,VS,69,B,1647351223,Non sospetto,Situazione Normale,Non sospetto,81,0.44
577,VS,83,A,1647351227,Non sospetto,Situazione Normale,Non sospetto,83,0.31
578,VS,77,C,1647351230,Non sospetto,Situazione Normale,Non sospetto,83,0.36
579,VCS,56,D,1647351231,Non sospetto,Situazione Normale,Non sospetto,64,0.64
580,VS,87,B,1647351235,Non sospetto,Situazione Normale,Non sospetto,83,0.28
581,VS,65,A,1647351236,Non sospetto,Situazione Normale,Non sospetto,83,0.46
582,VCS,73,A,1647351238,Non sospetto,Situazione Normale,Non sospetto,64,0.53
583,VCS,51,A,1647351239,Non sospetto,Situazione Normale,Non sospetto,64,0.67
584,VCS,66,B,1647351242,Non sospetto,Situazione Normale,Non sospetto,64,0.58
585,VS,90,B,1647351243,Non sospetto,Situazione Normale,Non sospetto,83,0.25
586,VS,61,D,1647351247,Non sospetto,Situazione Normale,Non sospetto,83,0.49
587,VCS,81,C,1647351250,Non sospetto,Situazione Normale,Non sospetto,73,0.41
588,VS,96,E,1647351252,Non sospetto,Situazione Normale,Non sospetto,86,0.17
589,VCS,87,C,1647351253,Non sospetto,Situazione Normale,Non sospetto,73,0.36
590,VS,86,D,1647351257,Non sospetto,Situazione Normale,Non sospetto,86,0.26
591,VS,98,A,1647351260,Non sospetto,Situazione Normale,Non sospetto,86,0.16
592,VCI,90,E,1647351263,Sospetto,Situazione Normale,Non sospetto,50,0.55
593,VS,80,D,1647351266,Non sospetto,Situazione Normale,Non sospetto,86,0.31
594,VS,56,C,1647351268,Non sospetto,Situazione Normale,Non sospetto,86,0.52
595,VCS,97,B,1647351270,Non sospetto,Situazione Normale,Non sospetto,63,0.39
596,VS,71,C,1647351272,Non sospetto,Situazione Normale,Non sospetto,88,0.38
597,VCS,95,C,1647351273,Non sospetto,Situazione Normale,Non sospetto,63,0.4
598,VS,89,D,1647351277,Non sospetto,Situazione Normale,Non sospetto,88,0.22
599,VS,84,D,1647351279,Non sospetto,Situazione Normale,Non sospetto,88,0.26
